date,value
1987-11-01,234.0
1987-12-01,289.0
1988-01-01,92.0
1988-02-01,461.0
1988-03-01,275.0
1988-04-01,243.0
1988-05-01,230.0
1988-06-01,364.0
1988-07-01,224.0
1988-08-01,124.0
1988-09-01,339.0
1988-10-01,263.0
1988-11-01,341.0
1988-12-01,281.0
1989-01-01,263.0
1989-02-01,266.0
1989-03-01,194.0
1989-04-01,170.0
1989-05-01,122.0
1989-06-01,114.0
1989-07-01,42.0
1989-08-01,51.0
1989-09-01,249.0
1989-10-01,107.0
1989-11-01,276.0
1989-12-01,84.0
1990-01-01,360.0
1990-02-01,240.0
1990-03-01,204.0
1990-04-01,34.0
1990-05-01,154.0
1990-06-01,22.0
1990-07-01,-35.0
1990-08-01,-208.0
1990-09-01,-85.0
1990-10-01,-145.0
1990-11-01,-155.0
1990-12-01,-54.0
1991-01-01,-110.0
1991-02-01,-323.0
1991-03-01,-167.0
1991-04-01,-218.0
1991-05-01,-97.0
1991-06-01,77.0
1991-07-01,-40.0
1991-08-01,10.0
1991-09-01,35.0
1991-10-01,26.0
1991-11-01,-61.0
1991-12-01,30.0
1992-01-01,35.0
1992-02-01,-53.0
1992-03-01,55.0
1992-04-01,149.0
1992-05-01,130.0
1992-06-01,60.0
1992-07-01,87.0
1992-08-01,123.0
1992-09-01,35.0
1992-10-01,188.0
1992-11-01,144.0
1992-12-01,219.0
1993-01-01,288.0
1993-02-01,257.0
1993-03-01,-43.0
1993-04-01,296.0
1993-05-01,271.0
1993-06-01,171.0
1993-07-01,312.0
1993-08-01,146.0
1993-09-01,248.0
1993-10-01,286.0
1993-11-01,253.0
1993-12-01,338.0
1994-01-01,276.0
1994-02-01,181.0
1994-03-01,463.0
1994-04-01,344.0
1994-05-01,333.0
1994-06-01,317.0
1994-07-01,369.0
1994-08-01,294.0
1994-09-01,344.0
1994-10-01,211.0
1994-11-01,410.0
1994-12-01,307.0
1995-01-01,331.0
1995-02-01,189.0
1995-03-01,214.0
1995-04-01,158.0
1995-05-01,-20.0
1995-06-01,245.0
1995-07-01,91.0
1995-08-01,264.0
1995-09-01,227.0
1995-10-01,153.0
1995-11-01,139.0
1995-12-01,160.0
1996-01-01,-8.0
1996-02-01,421.0
1996-03-01,254.0
1996-04-01,166.0
1996-05-01,339.0
1996-06-01,273.0
1996-07-01,249.0
1996-08-01,179.0
1996-09-01,202.0
1996-10-01,265.0
1996-11-01,282.0
1996-12-01,196.0
1997-01-01,213.0
1997-02-01,317.0
1997-03-01,318.0
1997-04-01,298.0
1997-05-01,271.0
1997-06-01,256.0
1997-07-01,298.0
1997-08-01,-27.0
1997-09-01,488.0
1997-10-01,349.0
1997-11-01,301.0
1997-12-01,324.0
1998-01-01,257.0
1998-02-01,211.0
1998-03-01,148.0
1998-04-01,280.0
1998-05-01,400.0
1998-06-01,231.0
1998-07-01,136.0
1998-08-01,334.0
1998-09-01,198.0
1998-10-01,205.0
1998-11-01,273.0
1998-12-01,373.0
1999-01-01,104.0
1999-02-01,418.0
1999-03-01,117.0
1999-04-01,361.0
1999-05-01,218.0
1999-06-01,271.0
1999-07-01,338.0
1999-08-01,150.0
1999-09-01,199.0
1999-10-01,407.0
1999-11-01,288.0
1999-12-01,317.0
2000-01-01,228.0
2000-02-01,109.0
2000-03-01,484.0
2000-04-01,280.0
2000-05-01,221.0
2000-06-01,-42.0
2000-07-01,165.0
2000-08-01,6.0
2000-09-01,103.0
2000-10-01,15.0
2000-11-01,204.0
2000-12-01,160.0
2001-01-01,-13.0
2001-02-01,85.0
2001-03-01,-37.0
2001-04-01,-293.0
2001-05-01,-50.0
2001-06-01,-108.0
2001-07-01,-128.0
2001-08-01,-151.0
2001-09-01,-258.0
2001-10-01,-311.0
2001-11-01,-308.0
2001-12-01,-161.0
2002-01-01,-124.0
2002-02-01,-122.0
2002-03-01,-15.0
2002-04-01,-106.0
2002-05-01,16.0
2002-06-01,42.0
2002-07-01,-90.0
2002-08-01,-3.0
2002-09-01,-79.0
2002-10-01,115.0
2002-11-01,-1.0
2002-12-01,-151.0
2003-01-01,108.0
2003-02-01,-132.0
2003-03-01,-206.0
2003-04-01,-62.0
2003-05-01,24.0
2003-06-01,-11.0
2003-07-01,-2.0
2003-08-01,-31.0
2003-09-01,99.0
2003-10-01,187.0
2003-11-01,41.0
2003-12-01,109.0
2004-01-01,167.0
2004-02-01,65.0
2004-03-01,319.0
2004-04-01,272.0
2004-05-01,285.0
2004-06-01,97.0
2004-07-01,60.0
2004-08-01,85.0
2004-09-01,150.0
2004-10-01,340.0
2004-11-01,74.0
2004-12-01,127.0
2005-01-01,151.0
2005-02-01,253.0
2005-03-01,120.0
2005-04-01,366.0
2005-05-01,169.0
2005-06-01,259.0
2005-07-01,352.0
2005-08-01,202.0
2005-09-01,50.0
2005-10-01,89.0
2005-11-01,356.0
2005-12-01,162.0
2006-01-01,268.0
2006-02-01,306.0
2006-03-01,305.0
2006-04-01,172.0
2006-05-01,39.0
2006-06-01,88.0
2006-07-01,192.0
2006-08-01,163.0
2006-09-01,134.0
2006-10-01,17.0
2006-11-01,217.0
2006-12-01,189.0
2007-01-01,223.0
2007-02-01,88.0
2007-03-01,224.0
2007-04-01,63.0
2007-05-01,145.0
2007-06-01,78.0
2007-07-01,-26.0
2007-08-01,-31.0
2007-09-01,86.0
2007-10-01,76.0
2007-11-01,115.0
2007-12-01,105.0
2008-01-01,-4.0
2008-02-01,-62.0
2008-03-01,-70.0
2008-04-01,-219.0
2008-05-01,-189.0
2008-06-01,-151.0
2008-07-01,-203.0
2008-08-01,-286.0
2008-09-01,-451.0
2008-10-01,-469.0
2008-11-01,-750.0
2008-12-01,-694.0
2009-01-01,-768.0
2009-02-01,-761.0
2009-03-01,-824.0
2009-04-01,-672.0
2009-05-01,-356.0
2009-06-01,-458.0
2009-07-01,-346.0
2009-08-01,-190.0
2009-09-01,-226.0
2009-10-01,-185.0
2009-11-01,-4.0
2009-12-01,-249.0
2010-01-01,-6.0
2010-02-01,-96.0
2010-03-01,160.0
2010-04-01,254.0
2010-05-01,522.0
2010-06-01,-132.0
2010-07-01,-95.0
2010-08-01,0.0
2010-09-01,-74.0
2010-10-01,279.0
2010-11-01,129.0
2010-12-01,81.0
2011-01-01,7.0
2011-02-01,220.0
2011-03-01,226.0
2011-04-01,314.0
2011-05-01,106.0
2011-06-01,228.0
2011-07-01,61.0
2011-08-01,133.0
2011-09-01,219.0
